city,after_2020_only,latitude,longitude,total_approved_Ihp_amount,total_approved_fema_assistance,declarationYear
"Whitesboro, Texas",No,33.6562183,-96.906948,,,2006
Error,No,,,,,2007
"Stephenville, Texas",No,32.2206958,-98.2022633,,,2006
"Bridgeport, Texas",No,33.2101155,-97.75475519999999,,,2006
"Carbon, Texas",No,32.2706904,-98.82867189999999,,,2006
"Cross Plains, Texas",No,32.1262493,-99.1653425,,,2006
"Dublin, Texas",No,32.085143,-98.3419882,,,2006
"Gorman, Texas",No,32.2137484,-98.67061059999999,,,2006
"Ranger, Texas",No,32.4698522,-98.6789477,,,2006
"Rising Star, Texas",No,32.0959744,-98.96367099999999,,,2006
"Taylor, Texas",No,30.5701906,-97.4097331,,,2011
"Whitney, Texas",No,31.951823,-97.3214012,196287.1,9.0,2011
"Houston, Texas",No,29.7600771,-95.37011079999999,,,2011
"Conroe, Texas",No,30.3118769,-95.45605119999999,22024.71,2.0,2011
"Montgomery, Texas",No,30.3882613,-95.69633549999999,0.0,0.0,2011
"Huntsville, Texas",No,30.7235263,-95.55077709999999,0.0,0.0,2011
"Huntsville, Texas",No,30.7235263,-95.55077709999999,,,2011
"Magnolia, Texas",No,30.2093794,-95.75078150000002,0.0,0.0,2011
"Magnolia, Texas",No,30.2093794,-95.75078150000002,354963.43,27.0,2011
"Montgomery, Texas",No,30.3882613,-95.69633549999999,,,2011
"New Waverly, Texas",No,30.5377007,-95.48327599999999,,,2011
"Plantersville, Texas",No,30.3329856,-95.8618958,6126.19,3.0,2011
"Spring, Texas",No,30.0799405,-95.41716009999999,,,2011
"Conroe, Texas",No,30.3118769,-95.45605119999999,,,2011
"Eagle Lake, Texas",No,29.5896836,-96.3335769,9419.71,1.0,2011
"Hempstead, Texas",No,30.0974405,-96.0782918,0.0,0.0,2011
"Hockley, Texas",No,30.026861,-95.8458562,18772.92,2.0,2011
"Waller, Texas",No,30.0566085,-95.9268986,246994.15,14.0,2011
"Pasadena, Texas",No,29.6910625,-95.2091006,,,2011
"Anderson, Texas",No,30.4876971,-95.9924515,,,2011
"Bedias, Texas",No,30.7757486,-95.94939699999999,,,2011
"Concord, Texas",No,31.2568468,-96.1444074,,,2011
"Marquez, Texas",No,31.2393469,-96.2535765,,,2011
"Navasota, Texas",No,30.3879845,-96.0877349,,,2011
"Hunt, Texas",No,30.0710434,-99.3379764,,,2006
"Mountain Home, Texas",No,30.1697978,-99.3724637,,,2006
"South Padre Island, Texas",No,26.1118401,-97.16812569999999,,,2011
Error,No,,,,,2011
"Bastrop, Texas",No,30.1104947,-97.3152701,5626029.08,445.0,2011
Error,No,,,,,2011
"Cedar Creek, Texas",No,30.0873153,-97.501432,109250.29999999999,8.0,2011
"Cedar Park, Texas",No,30.505198,-97.8202888,20691.44,3.0,2011
"Dale, Texas",No,29.9273589,-97.5647092,1142.8,1.0,2011
"Del Valle, Texas",No,30.2044784,-97.6392834,,,2011
"Elgin, Texas",No,30.3496528,-97.3702735,,,2011
"Georgetown, Texas",No,30.6332618,-97.6779842,,,2011
"Leander, Texas",No,30.5788055,-97.8530686,63888.21,8.0,2011
"Liberty Hill, Texas",No,30.6649119,-97.9225161,,,2011
"Lockhart, Texas",No,29.8849441,-97.6699996,,,2006
"Lockhart, Texas",No,29.8849441,-97.6699996,,,2011
"Luling, Texas",No,29.68050659999999,-97.647498,,,2011
"Maxwell, Texas",No,29.88105419999999,-97.7933357,,,2006
"Paige, Texas",No,30.2117727,-97.11457879999999,3501218.43,218.0,2011
"Pflugerville, Texas",No,30.4548451,-97.6222665,0.0,0.0,2011
"Red Rock, Texas",No,29.9596656,-97.4461058,,,2011
"San Marcos, Texas",No,29.8832749,-97.9413941,,,2006
"Spicewood, Texas",No,30.4760499,-98.15657399999999,423130.63,31.0,2011
"Austin, Texas",No,30.267153,-97.7430608,,,2011
"Austin, Texas",No,30.267153,-97.7430608,0.0,0.0,2011
"Austin, Texas",No,30.267153,-97.7430608,,,2011
"Austin, Texas",No,30.267153,-97.7430608,,,2011
"Austin, Texas",No,30.267153,-97.7430608,2441.41,1.0,2011
"Austin, Texas",No,30.267153,-97.7430608,,,2011
"Austin, Texas",No,30.267153,-97.7430608,,,2011
"Austin, Texas",No,30.267153,-97.7430608,,,2011
"Cat Spring, Texas",No,29.8455074,-96.3257991,,,2011
"Columbus, Texas",No,29.7066232,-96.5396933,,,2011
"Alleyton, Texas",No,29.7066234,-96.4863586,41024.020000000004,4.0,2011
"Fayetteville, Texas",No,29.9057817,-96.6727528,,,2011
"La Grange, Texas",No,29.9055033,-96.87664699999999,,,2011
"Rosanky, Texas",No,29.9293898,-97.29360199999999,157316.31,6.0,2011
"Smithville, Texas",No,30.0085542,-97.15943209999999,1248404.6600000001,94.0,2011
"Waelder, Texas",No,29.6941879,-97.2987307,,,2011
"Weimar, Texas",No,29.7027251,-96.78075749999999,,,2011
"West Point, Texas",No,29.9438347,-97.03692889999999,,,2011
"Hereford, Texas",No,34.8150622,-102.3977036,,,2006
"Lefors, Texas",No,35.4364356,-100.805698,,,2006
"Mclean, Texas",No,35.2325495,-100.5998558,,,2006
